Date,Device,Vehicle,Spend
2021-06-14,Samsung,Samsung 6/21 Audience Targeted 100% SOV Takeover,2825.0
2021-06-15,Samsung,Samsung 6/21 Audience Targeted 100% SOV Takeover,2825.0
2021-06-16,Samsung,Samsung 6/21 Audience Targeted 100% SOV Takeover,2825.0
2021-06-17,Samsung,Samsung 6/21 Audience Targeted 100% SOV Takeover,2825.0
2021-06-18,Samsung,Samsung 6/21 Audience Targeted 100% SOV Takeover,2825.0
2021-06-19,Samsung,Samsung 6/21 Audience Targeted 100% SOV Takeover,2825.0
2021-06-20,Samsung,Samsung 6/21 Audience Targeted 100% SOV Takeover,2825.0
2021-06-21,Samsung,Samsung 6/21 Audience Targeted 100% SOV Takeover,2825.0
2021-06-22,Samsung,Samsung 6/21 Audience Targeted 100% SOV Takeover,2825.0
2021-06-23,Samsung,Samsung 6/21 Audience Targeted 100% SOV Takeover,2825.0
2021-06-24,Samsung,Samsung 6/21 Audience Targeted 100% SOV Takeover,2825.0
2021-06-25,Samsung,Samsung 6/21 Audience Targeted 100% SOV Takeover,2825.0
2021-06-26,Samsung,Samsung 6/21 Audience Targeted 100% SOV Takeover,2825.0
2021-06-27,Samsung,Samsung 6/21 Audience Targeted 100% SOV Takeover,2825.0
2021-05-31,Vizio,Vizio Homescreen Hero Fixed Position,2678.57
2021-06-01,Vizio,Vizio Homescreen Hero Fixed Position,2678.57
2021-06-02,Vizio,Vizio Homescreen Hero Fixed Position,2678.57
2021-06-03,Vizio,Vizio Homescreen Hero Fixed Position,2678.57
2021-06-04,Vizio,Vizio Homescreen Hero Fixed Position,2678.57
2021-06-05,Vizio,Vizio Homescreen Hero Fixed Position,2678.57
2021-06-06,Vizio,Vizio Homescreen Hero Fixed Position,2678.57
2021-06-07,Vizio,Vizio Homescreen Hero Fixed Position,2678.57
2021-06-08,Vizio,Vizio Homescreen Hero Fixed Position,2678.57
2021-06-09,Vizio,Vizio Homescreen Hero Fixed Position,2678.57
2021-06-10,Vizio,Vizio Homescreen Hero Fixed Position,2678.57
2021-06-11,Vizio,Vizio Homescreen Hero Fixed Position,2678.57
2021-06-12,Vizio,Vizio Homescreen Hero Fixed Position,2678.57
2021-06-13,Vizio,Vizio Homescreen Hero Fixed Position,2678.57
2021-06-14,Vizio,Vizio Homescreen Hero Fixed Position,2678.57
2021-06-15,Vizio,Vizio Homescreen Hero Fixed Position,2678.57
2021-06-16,Vizio,Vizio Homescreen Hero Fixed Position,2678.57
2021-06-17,Vizio,Vizio Homescreen Hero Fixed Position,2678.57
2021-06-18,Vizio,Vizio Homescreen Hero Fixed Position,2678.57
2021-06-19,Vizio,Vizio Homescreen Hero Fixed Position,2678.57
2021-06-20,Vizio,Vizio Homescreen Hero Fixed Position,2678.57
2021-06-21,Vizio,Vizio Homescreen Hero Fixed Position,2678.57
2021-06-22,Vizio,Vizio Homescreen Hero Fixed Position,2678.57
2021-06-23,Vizio,Vizio Homescreen Hero Fixed Position,2678.57
2021-06-24,Vizio,Vizio Homescreen Hero Fixed Position,2678.57
2021-06-25,Vizio,Vizio Homescreen Hero Fixed Position,2678.57
2021-06-26,Vizio,Vizio Homescreen Hero Fixed Position,2678.57
2021-06-27,Vizio,Vizio Homescreen Hero Fixed Position,2678.57
2021-05-31,Vizio,Vizio Homescreen Hero Rotational,2992.86
2021-06-01,Vizio,Vizio Homescreen Hero Rotational,2992.86
2021-06-02,Vizio,Vizio Homescreen Hero Rotational,2992.86
2021-06-03,Vizio,Vizio Homescreen Hero Rotational,2992.86
2021-06-04,Vizio,Vizio Homescreen Hero Rotational,2992.86
2021-06-05,Vizio,Vizio Homescreen Hero Rotational,2992.86
2021-06-06,Vizio,Vizio Homescreen Hero Rotational,2992.86
2021-06-07,Vizio,Vizio Homescreen Hero Rotational,2992.86
2021-06-08,Vizio,Vizio Homescreen Hero Rotational,2992.86
2021-06-09,Vizio,Vizio Homescreen Hero Rotational,2992.86
2021-06-10,Vizio,Vizio Homescreen Hero Rotational,2992.86
2021-06-11,Vizio,Vizio Homescreen Hero Rotational,2992.86
2021-06-12,Vizio,Vizio Homescreen Hero Rotational,2992.86
2021-06-13,Vizio,Vizio Homescreen Hero Rotational,2992.86
