Date,Placement,Main Home,Store Home,Apps Store,Entertainment Twist,Collections,Social Post (Twitter), Social Post (Facebook),Social Post (Instagram),Email Newsletter Feature,Xbox.com,Estimated Weekly Value
,Weekly Value,0 ,0 ,"10,286 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,"10,286 "
,Promotional Days,--,--,,,,,--,--,,,--
28-Jun,Promotional Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Contractual Days,--,--,--,--,--,--,--,--,--,--,--
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Promotional Days,--,--,3,,3,,--,--,,,--
1-Jul,Promotional Value,0 ,0 ,"30,857 ",0 ,"30,857 ",0 ,0 ,0 ,0 ,0 ,"61,714 "
,Contractual Days,--,--,--,--,--,--,--,--,--,--,--
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,0 ,0 ,"30,857 ",0 ,"30,857 ",0 ,0 ,0 ,0 ,0 ,"61,714 "
,Promotional Days,--,--,1,,1,,--,--,,,--
5-Jul,Promotional Value,0 ,0 ,"10,286 ",0 ,"10,286 ",0 ,0 ,0 ,0 ,0 ,"20,571 "
,Contractual Days,--,--,--,--,--,--,--,--,--,--,--
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,0 ,0 ,"10,286 ",0 ,"10,286 ",0 ,0 ,0 ,0 ,0 ,"20,571 "
,Promotional Days,--,--,3,3,3,,--,--,1,,--
12-Jul,Promotional Value,0 ,0 ,"30,857 ","30,857 ","30,857 ",0 ,0 ,0 ,"450,000 ",0 ,"542,571 "
,Contractual Days,--,--,--,--,--,--,--,--,--,--,--
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,0 ,0 ,"30,857 ","30,857 ","30,857 ",0 ,0 ,0 ,"450,000 ",0 ,"542,571 "
,Promotional Days,--,--,4,,2,,,,,,--
19-Jul,Promotional Value,0 ,0 ,"41,143 ",0 ,"20,571 ",0 ,0 ,0 ,0 ,0 ,"61,714 "
,Contractual Days,--,--,--,--,--,--,--,--,--,--,--
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,0 ,0 ,"41,143 ",0 ,"20,571 ",0 ,0 ,0 ,0 ,0 ,"61,714 "
,Promotional Days,--,--,3,,5,,,,,,--
26-Jul,Promotional Value,0 ,0 ,"30,857 ",0 ,"51,429 ",0 ,0 ,0 ,0 ,0 ,"82,286 "
,Contractual Days,--,--,--,--,--,--,--,--,--,--,--
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,0 ,0 ,"30,857 ",0 ,"51,429 ",0 ,0 ,0 ,0 ,0 ,"82,286 "
,Promotional Days,--,--,1,,2,,,,,,--
1-Aug,Promotional Value,0 ,0 ,"10,286 ",0 ,"20,571 ",0 ,0 ,0 ,0 ,0 ,"30,857 "
,Contractual Days,--,--,--,--,--,--,--,--,--,--,--
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,0 ,0 ,"10,286 ",0 ,"20,571 ",0 ,0 ,0 ,0 ,0 ,"30,857 "
,Promotional Days,--,--,7,,,,,,,,--
2-Aug,Promotional Value,0 ,0 ,"72,000 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,"72,000 "
,Contractual Days,--,--,--,--,--,--,--,--,--,--,--
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,0 ,0 ,"72,000 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,"72,000 "
,Promotional Days,--,--,3,,3,,,,,,--
9-Aug,Promotional Value,0 ,0 ,"30,857 ",0 ,"30,857 ",0 ,0 ,0 ,0 ,0 ,"61,714 "
,Contractual Days,--,--,--,--,--,--,--,--,--,--,--
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,0 ,0 ,"30,857 ",0 ,"30,857 ",0 ,0 ,0 ,0 ,0 ,"61,714 "
,Promotional Days,--,--,2,,3,,,,,,--
16-Aug,Promotional Value,0 ,0 ,"20,571 ",0 ,"30,857 ",0 ,0 ,0 ,0 ,0 ,"51,429 "
,Contractual Days,--,--,--,--,--,--,--,--,--,--,--
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,0 ,0 ,"20,571 ",0 ,"30,857 ",0 ,0 ,0 ,0 ,0 ,"51,429 "
,Promotional Days,--,--,,,,1,1,1,,,--
23-Aug,Promotional Value,0 ,0 ,0 ,0 ,0 ,"49,700 ","76,880 ","38,150 ",0 ,0 ,"164,730 "
,Contractual Days,--,--,--,--,--,--,--,--,--,--,--
