Date,Placement,Today Stories (App Store),Hero Banner Takeover​ (App Store),Hero Banner Feature (App Store),Brick Row Takeover​ (App Store),App Recommendation Featuring​ (App Store),What To Watch This Week (App Store) ,App Upsell​ (TV App),App What to Watch Brick Row Takeover​ (TV App),App Editorial featuring in Collections​ (TV App),Apple TV Social Post (Facebook),Apple TV Social Post (Instagram),Apple TV Social Post (Twitter),Apple TV Email / Newsletter,Apple.com Feature,Estimated Weekly Value
,Weekly Value,"26,400 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"26,400 "
,Promotional Days,1,,4,,,4,,,4,,,,,,--
19-Apr,Promotional Value,"26,400 ",0 ,"54,831 ",0 ,0 ,"54,831 ",0 ,0 ,"67,200 ",0 ,0 ,0 ,0 ,0 ,"203,262 "
,Contractual Days,,,,,,,,,,,,,,,
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,"26,400 ",0 ,"54,831 ",0 ,0 ,"54,831 ",0 ,0 ,"67,200 ",0 ,0 ,0 ,0 ,0 ,"203,262 "
,Promotional Days,,,5,,,5,,,5,,,,1,,--
26-Apr,Promotional Value,0 ,0 ,"68,538 ",0 ,0 ,"68,538 ",0 ,0 ,"84,000 ",0 ,0 ,0 ,"1,206,250 ",0 ,"1,427,327 "
,Contractual Days,,,,,,,,,,,,,,,
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,0 ,0 ,"68,538 ",0 ,0 ,"68,538 ",0 ,0 ,"84,000 ",0 ,0 ,0 ,"1,206,250 ",0 ,"1,427,327 "
,Promotional Days,1,,2,,,2,,,,,,,,,--
1-May,Promotional Value,"26,400 ",0 ,"27,415 ",0 ,0 ,"27,415 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"81,231 "
,Contractual Days,,,,,,,,,,,,,,,
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,"26,400 ",0 ,"27,415 ",0 ,0 ,"27,415 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"81,231 "
,Promotional Days,,,7,,,7,,,4,1,1,1,1,,--
3-May,Promotional Value,0 ,0 ,"95,954 ",0 ,0 ,"95,954 ",0 ,0 ,"67,200 ","102,075 ","6,650 ","3,850 ","1,206,250 ",0 ,"1,577,933 "
,Contractual Days,,,,,,,,,,,,,,,
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,0 ,0 ,"95,954 ",0 ,0 ,"95,954 ",0 ,0 ,"67,200 ","102,075 ","6,650 ","3,850 ","1,206,250 ",0 ,"1,577,933 "
