Date,Placement,Content Zone Banner (PS4),"Featured Content Strand - ATL, positions 1-4 (PS4)","Featured Content Strand - BTL, positions 5-xx (PS4)","Video Hub - Featured Content Strand - ATL, positions 1-xx (PS5)","Video Hub - Featured Content Strand - BTL, positions xx-xx (PS5)",Social Post (Twitter), Social Post (Facebook),Social Post (Instagram),Email Newsletter Feature,PlayStation.com,Estimated Weekly Value
28-Jun,Promotional Value,0 ,0 ,"42,857 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,"42,857 "
,Contractual Days,--,--,--,--,--,--,--,--,--,--,--
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,0 ,0 ,"42,857 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,"42,857 "
,Promotional Days,,3,4,3,--,--,--,--,--,--,--
1-Jul,Promotional Value,0 ,"214,286 ","57,143 ","42,857 ",0 ,0 ,0 ,0 ,0 ,0 ,"314,286 "
,Contractual Days,--,--,--,--,--,--,--,--,--,--,--
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,0 ,"214,286 ","57,143 ","42,857 ",0 ,0 ,0 ,0 ,0 ,0 ,"314,286 "
,Promotional Days,4,4,3,3,--,--,--,--,--,--,--
5-Jul,Promotional Value,"14,571 ","285,714 ","42,857 ","42,857 ",0 ,0 ,0 ,0 ,0 ,0 ,"386,000 "
,Contractual Days,--,--,--,--,--,--,--,--,--,--,--
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,"14,571 ","285,714 ","42,857 ","42,857 ",0 ,0 ,0 ,0 ,0 ,0 ,"386,000 "
,Promotional Days,1,2,6,,--,--,--,--,--,--,--
12-Jul,Promotional Value,"3,643 ","142,857 ","85,714 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,"232,214 "
,Contractual Days,--,--,--,--,--,--,--,--,--,--,--
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,"3,643 ","142,857 ","85,714 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,"232,214 "
,Promotional Days,,1,5,,--,--,--,--,--,--,--
19-Jul,Promotional Value,0 ,"71,429 ","71,429 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,"142,857 "
,Contractual Days,--,--,--,--,--,--,--,--,--,--,--
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,0 ,"71,429 ","71,429 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,"142,857 "
,Promotional Days,2,1,5,,--,--,--,--,--,--,--
26-Jul,Promotional Value,"7,286 ","71,429 ","71,429 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,"150,143 "
,Contractual Days,--,--,--,--,--,--,--,--,--,--,--
,Contractual Value,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,Weekly Value,"7,286 ","71,429 ","71,429 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,"150,143 "
,Promotional Days,,,1,,--,--,--,--,--,--,--
