Date,Device,CNT,Owner
2020-11-06,amazon fire tablet,1,Amazon
2020-11-06,amazon fire tv,922,Amazon
2020-11-07,amazon fire tablet,3,Amazon
2020-11-07,amazon fire tv,1297,Amazon
2020-11-08,amazon fire tablet,2,Amazon
2020-11-08,amazon fire tv,1833,Amazon
2020-11-09,amazon fire tablet,2,Amazon
2020-11-09,amazon fire tv,924,Amazon
2020-11-10,amazon fire tv,902,Amazon
2020-11-11,amazon fire tv,1003,Amazon
2020-11-12,amazon fire tablet,1,Amazon
2020-11-12,amazon fire tv,949,Amazon
2020-11-13,amazon fire tablet,1,Amazon
2020-11-13,amazon fire tv,886,Amazon
2020-11-14,amazon fire tv,1188,Amazon
2020-11-15,amazon fire tablet,2,Amazon
2020-11-15,amazon fire tv,1193,Amazon
2020-11-16,amazon fire tv,788,Amazon
2020-11-17,amazon fire tablet,2,Amazon
2020-11-17,amazon fire tv,817,Amazon
2020-11-18,amazon fire tablet,1,Amazon
2020-11-18,amazon fire tv,777,Amazon
2020-11-19,amazon fire tv,727,Amazon
2020-11-20,amazon fire tablet,3,Amazon
2020-11-20,amazon fire tv,747,Amazon
2020-11-21,amazon fire tablet,4,Amazon
2020-11-21,amazon fire tv,1264,Amazon
2020-11-22,amazon fire tv,1315,Amazon
2020-11-23,amazon fire tablet,2,Amazon
2020-11-23,amazon fire tv,940,Amazon
2020-11-24,amazon fire tablet,2,Amazon
2020-11-24,amazon fire tv,912,Amazon
2020-11-25,amazon fire tv,1356,Amazon
2020-11-26,amazon fire tv,1721,Amazon
2020-11-27,amazon fire tv,1452,Amazon
2020-11-28,amazon fire tablet,4,Amazon
2020-11-28,amazon fire tv,1840,Amazon
2020-11-29,amazon fire tablet,1,Amazon
2020-11-29,amazon fire tv,1624,Amazon
2020-11-30,amazon fire tablet,2,Amazon
2020-11-30,amazon fire tv,1078,Amazon
2020-12-01,amazon fire tablet,3,Amazon
2020-12-01,amazon fire tv,1005,Amazon
2020-12-02,amazon fire tablet,2,Amazon
2020-12-02,amazon fire tv,990,Amazon
2020-12-03,amazon fire tablet,2,Amazon
2020-12-03,amazon fire tv,929,Amazon
2020-12-04,amazon fire tablet,1,Amazon
2020-12-04,amazon fire tv,933,Amazon
2020-12-05,amazon fire tv,1287,Amazon
2020-12-06,amazon fire tv,1528,Amazon
2020-12-07,amazon fire tv,764,Amazon
2020-12-08,amazon fire tablet,5,Amazon
2020-12-08,amazon fire tv,714,Amazon
2020-12-09,amazon fire tv,703,Amazon
2020-12-10,amazon fire tablet,1,Amazon
2020-12-10,amazon fire tv,744,Amazon
2020-12-11,amazon fire tablet,2,Amazon
