Date,Device,CNT
8/2/2020,amazon fire tv,3990
8/2/2020,android mobile,24201
8/2/2020,android tv,2137
8/2/2020,apple tv,5828
8/2/2020,chromecast receiver app,2
8/2/2020,cox,6305
8/2/2020,ios mobile,36164
8/2/2020,lg smart tv,3213
8/2/2020,ps4,35178
8/2/2020,roku,97
8/2/2020,samsung tv,292
8/2/2020,unknown,1985
8/2/2020,vizio,8256
8/2/2020,web,13617
8/2/2020,xbox one,2497
8/2/2020,xfinity,39872
8/3/2020,amazon fire tablet,1
8/3/2020,amazon fire tv,2749
8/3/2020,android mobile,19945
8/3/2020,android tv,1344
8/3/2020,apple tv,3622
8/3/2020,cox,4275
8/3/2020,ios mobile,28510
8/3/2020,lg smart tv,2226
8/3/2020,ps4,23675
8/3/2020,roku,80
8/3/2020,samsung tv,169
8/3/2020,unknown,1724
8/3/2020,vizio,6130
8/3/2020,web,11837
8/3/2020,xbox one,1892
8/3/2020,xfinity,28028
8/4/2020,amazon fire tablet,1
8/4/2020,amazon fire tv,2477
8/4/2020,android mobile,19276
8/4/2020,android tv,1363
8/4/2020,apple tv,3312
8/4/2020,chromecast receiver app,1
8/4/2020,cox,4000
8/4/2020,ios mobile,27931
8/4/2020,lg smart tv,2056
8/4/2020,ps4,13340
8/4/2020,roku,100
8/4/2020,samsung tv,164
8/4/2020,unknown,1598
8/4/2020,vizio,5376
8/4/2020,web,10908
8/4/2020,xbox one,2099
8/4/2020,xfinity,27154
8/5/2020,amazon fire tablet,3
8/5/2020,amazon fire tv,2200
8/5/2020,android mobile,20803
8/5/2020,android tv,1337
8/5/2020,apple tv,3192
8/5/2020,cox,3817
8/5/2020,ios mobile,28375
8/5/2020,lg smart tv,2029
8/5/2020,ps4,9012
8/5/2020,roku,88
8/5/2020,samsung tv,159
8/5/2020,unknown,1779
8/5/2020,vizio,4975
8/5/2020,web,11383
8/5/2020,xbox one,2064
8/5/2020,xfinity,25946
8/6/2020,amazon fire tablet,2
8/6/2020,amazon fire tv,2217
8/6/2020,android mobile,21546
8/6/2020,android tv,1479
8/6/2020,apple tv,3310
8/6/2020,chromecast receiver app,2
8/6/2020,cox,3914
8/6/2020,ios mobile,32292
8/6/2020,lg smart tv,2104
8/6/2020,ps4,7578
8/6/2020,roku,90
8/6/2020,samsung tv,188
8/6/2020,unknown,1634
8/6/2020,vizio,5229
8/6/2020,web,11427
8/6/2020,xbox one,2061
8/6/2020,xfinity,27876
8/7/2020,amazon fire tablet,2
8/7/2020,amazon fire tv,2066
8/7/2020,android mobile,19937
8/7/2020,android tv,1408
8/7/2020,apple tv,3773
8/7/2020,chromecast receiver app,3
8/7/2020,cox,4062
8/7/2020,ios mobile,26821
8/7/2020,lg smart tv,5775
8/7/2020,ps4,6177
8/7/2020,roku,95
8/7/2020,samsung tv,162
8/7/2020,unknown,1687
8/7/2020,vizio,4744
8/7/2020,web,10632
8/7/2020,xbox one,1801
8/7/2020,xfinity,29423
8/8/2020,amazon fire tablet,1
8/8/2020,amazon fire tv,2695
8/8/2020,android mobile,21890
8/8/2020,android tv,1953
8/8/2020,apple tv,4627
8/8/2020,cox,5223
8/8/2020,ios mobile,27830
8/8/2020,lg smart tv,3542
8/8/2020,ps4,6674
8/8/2020,roku,102
8/8/2020,samsung tv,208
8/8/2020,unknown,1777
8/8/2020,vizio,6054
8/8/2020,web,10737
8/8/2020,xbox one,2164
8/8/2020,xfinity,37177
8/9/2020,amazon fire tv,2935
8/9/2020,android mobile,23031
8/9/2020,android tv,1919
8/9/2020,apple tv,4895
8/9/2020,cox,5076
8/9/2020,ios mobile,30513
8/9/2020,lg smart tv,3174
8/9/2020,ps4,7262
8/9/2020,roku,78
8/9/2020,samsung tv,241
8/9/2020,unknown,1782
8/9/2020,vizio,6278
8/9/2020,web,11360
8/9/2020,xbox one,2518
8/9/2020,xfinity,37586
8/10/2020,amazon fire tablet,2
8/10/2020,amazon fire tv,2034
8/10/2020,android mobile,18979
8/10/2020,android tv,1324
8/10/2020,apple tv,3565
8/10/2020,cox,3531
8/10/2020,ios mobile,27798
8/10/2020,lg smart tv,2125
8/10/2020,ps4,4450
8/10/2020,roku,97
8/10/2020,samsung tv,171
8/10/2020,unknown,1676
8/10/2020,vizio,4620
8/10/2020,web,11558
8/10/2020,xbox one,2160
8/10/2020,xfinity,27400
8/11/2020,amazon fire tv,1983
8/11/2020,android mobile,19082
8/11/2020,android tv,1290
8/11/2020,apple tv,3172
8/11/2020,cox,3416
8/11/2020,ios mobile,26713
8/11/2020,lg smart tv,2166
8/11/2020,ps4,2857
8/11/2020,roku,96
8/11/2020,samsung tv,147
8/11/2020,unknown,1637
8/11/2020,vizio,4177
8/11/2020,web,11152
8/11/2020,xbox one,1829
8/11/2020,xfinity,25470
8/12/2020,amazon fire tv,1864
8/12/2020,android mobile,18027
8/12/2020,android tv,1267
8/12/2020,apple tv,3198
8/12/2020,chromecast receiver app,1
8/12/2020,cox,3647
8/12/2020,ios mobile,25861
8/12/2020,lg smart tv,2122
8/12/2020,ps4,2513
8/12/2020,roku,85
8/12/2020,samsung tv,164
8/12/2020,unknown,1698
8/12/2020,vizio,4106
8/12/2020,web,11724
8/12/2020,xbox one,1905
8/12/2020,xfinity,27024
8/13/2020,amazon fire tablet,1
8/13/2020,amazon fire tv,1812
8/13/2020,android mobile,17464
8/13/2020,android tv,1277
8/13/2020,apple tv,3099
8/13/2020,chromecast receiver app,1
8/13/2020,cox,3547
8/13/2020,ios mobile,24011
8/13/2020,lg smart tv,1890
8/13/2020,ps4,4182
8/13/2020,roku,77
8/13/2020,samsung tv,150
8/13/2020,unknown,1579
8/13/2020,vizio,4077
8/13/2020,web,10371
8/13/2020,xbox one,1720
8/13/2020,xfinity,25529
8/14/2020,amazon fire tablet,2
8/14/2020,amazon fire tv,1732
8/14/2020,android mobile,16419
8/14/2020,android tv,1805
8/14/2020,apple tv,3303
8/14/2020,cox,3628
8/14/2020,ios mobile,23217
